appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
6030,"STAR WARS™ Jedi Knight II - Jedi Outcast™",game,9.99,"2009-09-16 00:00:00",89,0,1
6270,"Ducati World Championship",game,4.99,"2007-09-21 00:00:00",35,0,1
12600,"Midnight Outlaw: 6 Hours to SunUp",game,9.99,"2008-07-29 00:00:00",-1,0,0
15210,"Silent Hunter® III",game,9.99,"2008-06-13 00:00:00",90,0,1
16000,"Discovery! A Seek and Find Adventure",game,9.99,"2008-07-29 00:00:00",-1,0,0
19500,"Eternity's Child",game,4.99,"2008-07-31 00:00:00",-1,0,0
33100,"Alien Shooter",game,4.99,"2009-05-27 00:00:00",-1,0,0
34920,"Razor2: Hidden Skies",game,9.99,"2010-07-19 00:00:00",61,0,0
36100,"Tradewinds Classics",game,4.99,"2009-07-17 00:00:00",-1,0,0
39510,"Gothic II: Gold Edition",game,9.99,"1970-01-01 00:00:00",79,0,0
39530,"Painkiller: Black Edition",game,9.99,"2007-01-24 00:00:00",81,17,1
40950,"Stronghold HD",game,5.99,"2013-10-21 00:00:00",81,0,1
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0
211209,"Wonder Boy in Monster World",game,2.99,"2012-05-02 00:00:00",-1,0,0
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1
224300,"Legacy of Kain: Defiance",game,6.99,"2012-12-06 00:00:00",70,17,0
240360,"Dragon's Lair 2: Time Warp",game,9.99,"2013-10-24 00:00:00",-1,0,0
244910,Homesick,game,14.99,"2015-05-28 00:00:00",72,0,0
247120,"Portal 2 Sixense Perceptual Pack",game,0,"2013-09-20 00:00:00",-1,0,0
254960,"Silent Storm Gold Edition",game,9.99,"2013-10-02 00:00:00",83,0,0
259810,"Home Sheep Home 2",game,9.99,"2014-02-17 00:00:00",-1,0,0
270910,"Worms World Party Remastered",game,14.99,"2015-07-16 00:00:00",-1,0,1
276360,"Riding Star",game,3.99,"2014-03-27 00:00:00",-1,0,0
280560,"Danmaku Unlimited 2",game,4.99,"2014-03-18 00:00:00",-1,0,0
284100,"Unclaimed World",game,15.99,"2014-03-26 00:00:00",-1,0,0
286790,"Falcon A.T.",game,6.99,"2016-01-08 00:00:00",-1,0,0
288140,"Jack Nicklaus Perfect Golf",game,34.99,"2016-05-03 00:00:00",-1,0,1
288750,"Hotel Collectors Edition",game,6.99,"2014-04-25 00:00:00",-1,0,0
289220,BorderZone,game,2.99,"2014-04-23 00:00:00",-1,0,0
289820,"Dracula 2: The Last Sanctuary",game,4.99,"2014-04-17 00:00:00",68,0,0
293240,Cosmochoria,game,9.99,"2015-04-27 00:00:00",-1,0,0
298820,"Millennium 2 - Take Me Higher",game,5.99,"2014-07-10 00:00:00",-1,0,0
304500,"Rooms: The Main Building",game,9.99,"2014-07-11 00:00:00",-1,0,0
305840,"Shallow Space",game,14.99,"2015-10-21 00:00:00",-1,0,0
307070,"Memories of a Vagabond",game,4.99,"2014-07-07 00:00:00",-1,0,0
307430,Reversi,game,9.99,"2015-03-19 00:00:00",-1,0,1
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1
311290,"SpellForce 3",game,0,"2016-05-07 20:16:00",-1,0,1
311840,"Wildlife Park",game,6.99,"2015-04-01 00:00:00",-1,0,0
322440,"Red Goddess: Inner World",game,9.99,"2015-08-31 00:00:00",53,0,0
324110,"Moto Racer Collection",game,9.99,"2014-10-02 00:00:00",-1,0,0
327890,"I am Bread",game,12.99,"2015-04-09 00:00:00",60,0,0
328470,"Slave Zero",game,6.99,"2014-10-23 00:00:00",-1,0,0
332760,"Friendship Club",game,11.99,"2015-03-24 00:00:00",-1,0,0
336060,"Raptor: Call of The Shadows - 2015 Edition",game,4.99,"2015-02-13 00:00:00",-1,0,0
336090,"Sky Mercenaries",game,9.99,"2014-12-16 00:00:00",-1,0,0
336110,"Bloody Streets",game,4.99,"2015-03-12 00:00:00",-1,0,0
336520,"Might & Magic Heroes Online",game,0,"2015-11-24 00:00:00",-1,0,1
337150,"Sentinels of the Multiverse",game,9.99,"2014-12-22 00:00:00",-1,0,1
338550,"Terra Lander",game,5.99,"2015-02-06 00:00:00",-1,0,0
340480,"Project Green Beat",game,4.99,"2015-01-16 00:00:00",-1,0,1
341710,Crest,game,8.99,"2015-04-23 00:00:00",-1,0,0
343740,"InMind VR",game,0,"2015-01-19 00:00:00",-1,0,0
344480,Quell,game,3.99,"2015-05-14 00:00:00",-1,0,0
347800,"Ghost Song",game,0,"2016-05-07 20:16:00",-1,0,0
354430,"STAR WARS™ - X-Wing Special Edition",game,9.99,"2015-04-28 00:00:00",-1,0,0
355180,"Codename CURE",game,0,"2015-07-17 00:00:00",-1,0,0
355970,"Home is Where One Starts...",game,2.99,"2015-05-12 00:00:00",-1,0,0
356160,"The Emptiness Deluxe Edition",game,9.99,"2015-04-17 00:00:00",-1,0,0
356890,"One More Line",game,2.99,"2015-08-28 00:00:00",-1,0,1
357070,UBERMOSH,game,1.99,"2015-08-13 00:00:00",-1,0,0
365120,"Curse of the Crescent Isle DX",game,4.99,"2015-08-21 00:00:00",-1,0,0
365340,"The Way of the Pixelated Fist",game,1.99,"2015-04-27 00:00:00",-1,0,0
369110,"The Swindle",game,14.99,"2015-07-28 00:00:00",70,0,0
370150,"LOOP: A Tranquil Puzzle Game",game,4.99,"2015-05-22 00:00:00",-1,0,0
370170,"Dale Hardshovel HD",game,1.99,"2015-09-22 00:00:00",-1,0,0
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0
370540,"Gary Grigsby's War in the East",game,79.99,"2015-07-09 00:00:00",-1,0,1
370780,"Fated Souls",game,9.99,"2015-07-30 00:00:00",-1,0,0
371370,Advent,game,0,"2015-05-15 00:00:00",-1,0,0
371400,Downpour,game,0.99,"2015-05-14 00:00:00",-1,0,0
375010,"Energy Balance",game,2.99,"2015-07-02 00:00:00",-1,0,0
376770,"Big Thinkers 1st Grade",game,6.99,"2015-08-18 00:00:00",-1,0,0
380210,"Signal to Noise",game,12.99,"2015-11-20 00:00:00",-1,0,0
385630,"Cosmic Rocket Defender",game,3.99,"2015-07-17 00:00:00",-1,0,0
388090,"Five Nights at Freddy's 4",game,7.99,"2015-07-23 00:00:00",51,0,0
390660,"Call of Tomsk-7",game,0.99,"2015-08-10 00:00:00",-1,0,0
398920,"Tisnart Tiles",game,5.99,"2015-08-31 00:00:00",-1,0,0
402670,"Space Thinger",game,4.99,"2015-09-25 00:00:00",-1,0,0
405540,"Ninja Senki DX",game,4.99,"2016-02-23 00:00:00",72,0,0
407020,"Star Sky - ??????",game,3.99,"2015-10-23 00:00:00",-1,0,0
407060,AltspaceVR,game,0,"2016-03-31 00:00:00",-1,0,0
409510,"Genesis Online",game,0,"2015-11-10 00:00:00",-1,0,1
409690,"Pink Heaven",game,0,"2015-11-03 00:00:00",-1,0,0
410550,"Tank: M1A1 Abrams Battle Simulation",game,6.99,"2015-11-13 00:00:00",-1,0,0
418960,Catorize,game,2.99,"2015-11-11 00:00:00",-1,0,0
427480,"FritzChess 15",game,64.99,"2016-02-22 00:00:00",-1,0,1
431240,"Golf With Friends",game,5.99,"2016-01-29 00:00:00",-1,0,1
432780,"Dream Catcher Chronicles: Manitou",game,9.99,"2016-02-11 00:00:00",-1,0,0
434870,"Megalo Polis",game,9.99,"2016-02-26 00:00:00",-1,0,0
440720,"Pandora`s room",game,8.99,"2016-03-29 00:00:00",-1,0,0
447240,"Zasa - An AI Story",game,0.99,"2016-04-11 00:00:00",-1,0,0
449770,"Legend of Moros",game,5.99,"2016-03-03 00:00:00",-1,0,0
453960,"Envy the Dead",game,4.99,"2016-04-25 00:00:00",-1,0,0
456780,"DUCATI - 90th Anniversary",game,0,"2016-06-01 00:00:00",-1,0,1
461680,"Drone Racing",game,9.99,"2016-04-28 00:00:00",-1,0,1
